CAR;DATA DE CORTE;SAFRA
MS-5003900-77126297346E4DA3A8C5DF22EC5D69E3;20/10/23;2023/24
MT-5105101-83CFCD45FE4848AE98A6BBD6C1F5041B;20/10/23;2022/23
MT-5105101-DAEC68A7E51A4D04AB278B380D2EEC98;20/10/23;2023/24
MT-5102850-8082937BC7DA435B92303AD9F3F40669;20/10/23;2022/23
MT-5102850-02DA12D29A1C4FBEB73A53B2C8E35559;20/10/23;2023/24
MT-5105101-A6672675649045DFB0A1965786104BE4;20/10/23;2022/23
SP-3550902-FA061619518A4ED0AD2AF0256CA6A50E;20/10/23;2023/24
SP-3550902-F228852C705F419DA1A78B9388935D22;20/10/23;2022/23
SP-3513108-4E6351F8FEFE4BFDA3F6668B4E88264B;20/10/23;2023/24
SP-3513108-3D95528DEF5A4143AFB326C78104E8C6;20/10/23;2022/23



 

 

 

 

 
